,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230713,05:17:47,46.42,130.06,14,5
1,20230713,08:40:21,41.07,68.33,76,27
2,20230713,08:47:17,68.77,66.84,150,45
3,20230713,13:24:29,-25.6,28.67,29,14
4,20230713,13:40:52,30.66,6.87,35,12
5,20230713,20:25:58,26.33,-98.09,60,21
6,20230713,20:27:54,32.76,-101.24,39,15
7,20230714,08:28:15,67.51,63.81,12,4
8,20230714,10:01:35,41.42,69.28,106,40
9,20230714,10:01:57,41.42,59.15,58,21
10,20230714,10:03:21,45.39,51.97,66,21
11,20230714,10:03:32,46.92,55.64,279,92
12,20230714,10:09:03,67.39,63.64,18,6
13,20230714,13:05:19,-26.77,27.97,36,17
14,20230714,13:05:20,-26.46,29.13,34,14
15,20230716,05:59:21,33.81,113.23,61,20
16,20230716,09:23:53,41.95,69.2,31,13
17,20230716,11:02:56,32.99,44.38,57,19
18,20230716,11:03:45,35.06,40.91,36,13
19,20230716,14:27:49,40.74,-3.23,46,18
20,20230716,21:11:19,31.73,-101.88,39,13
21,20230717,05:41:46,38.44,114.62,27,11
22,20230717,09:07:23,51.63,75.52,27,10
23,20230718,07:02:38,36.78,109.36,52,18
24,20230718,18:33:22,-34.15,-58.76,27,9
25,20230719,08:29:56,54.01,87.37,21,18
26,20230719,10:07:54,39.58,53.44,149,58
27,20230719,11:47:49,36.11,41.21,6,2
28,20230719,13:11:42,-25.78,29.65,26,11
29,20230720,04:23:48,-32.79,151.02,51,29
30,20230720,09:48:39,40.22,63.37,34,12
31,20230720,09:48:42,41.34,69.35,58,26
32,20230720,09:48:55,39.98,58.5,10,4
33,20230720,09:50:16,43.46,53.15,31,10
34,20230720,11:28:37,35.05,40.76,26,9
35,20230720,11:28:34,35.2,44.49,13,10
36,20230720,11:28:48,35.18,39.02,15,7
